country_satis,fav_us,fav_china,econ_sit,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Greece,0.769827909901594,5.0,2.0,3.0,3.0
Dissatisfied,Don’t know (DO NOT READ),Don’t know (DO NOT READ),Somewhat bad,Greece,2.547377205974,5.0,,,3.0
Dissatisfied,Somewhat unfavorable,Don’t know (DO NOT READ),Somewhat good,Greece,0.245402243247957,5.0,3.0,,2.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Very bad,Greece,1.20837671856027,5.0,2.0,3.0,4.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Greece,1.05323413883141,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Very bad,Greece,0.604188359280133,5.0,2.0,3.0,4.0
Dissatisfied,Very favorable,Somewhat favorable,Somewhat bad,Greece,1.14983945953535,5.0,1.0,2.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Very bad,Greece,0.554764178449534,5.0,3.0,2.0,4.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Very bad,Greece,0.673516682344327,5.0,3.0,2.0,4.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Greece,0.562502541657578,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Greece,1.54119777395635,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Very bad,Greece,1.05020335169529,5.0,3.0,2.0,4.0
Dissatisfied,Very favorable,Somewhat favorable,Somewhat bad,Greece,1.80978416719559,5.0,1.0,2.0,3.0
Dissatisfied,Very favorable,Very favorable,Somewhat bad,Greece,0.966407544824161,5.0,1.0,1.0,3.0
Dissatisfied,Somewhat favorable,Don’t know (DO NOT READ),Somewhat good,Greece,1.93281508964832,5.0,2.0,,2.0
Dissatisfied,Very favorable,Somewhat unfavorable,Very bad,Greece,0.815363510945305,5.0,1.0,3.0,4.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Greece,0.418722203208951,5.0,3.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Greece,0.481083882034965,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Greece,0.522297041415219,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Greece,0.280620818958808,5.0,3.0,3.0,3.0
Satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Greece,0.489073676508187,2.0,3.0,3.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Very bad,Greece,2.547377205974,5.0,2.0,2.0,4.0
Dissatisfied,Refused (DO NOT READ),Somewhat favorable,Somewhat bad,Greece,0.245402243247957,5.0,,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Greece,0.900724277548525,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Very bad,Greece,1.95629470603275,5.0,3.0,3.0,4.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Greece,2.44362679976484,5.0,2.0,3.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Greece,1.06522933691016,5.0,3.0,3.0,3.0
